Date,Open,High,Low,Close,Adj Close,Volume
1997-03-03,18.809999,18.809999,18.809999,18.809999,12.373437,0
1997-03-04,18.760000,18.760000,18.760000,18.760000,12.340535,0
1997-03-05,18.980000,18.980000,18.980000,18.980000,12.485261,0
1997-03-06,18.930000,18.930000,18.930000,18.930000,12.452365,0
1997-03-07,19.059999,19.059999,19.059999,19.059999,12.537885,0
1997-03-10,19.230000,19.230000,19.230000,19.230000,12.649709,0
1997-03-11,19.180000,19.180000,19.180000,19.180000,12.616824,0
1997-03-12,19.030001,19.030001,19.030001,19.030001,12.518149,0
1997-03-13,18.730000,18.730000,18.730000,18.730000,12.320807,0
1997-03-14,18.799999,18.799999,18.799999,18.799999,12.366847,0
1997-03-17,18.790001,18.790001,18.790001,18.790001,12.360275,0
1997-03-18,18.650000,18.650000,18.650000,18.650000,12.268183,0
1997-03-19,18.540001,18.540001,18.540001,18.540001,12.195825,0
1997-03-20,18.500000,18.500000,18.500000,18.500000,12.169509,0
1997-03-21,18.530001,18.530001,18.530001,18.530001,12.189241,0
1997-03-24,18.610001,18.610001,18.610001,18.610001,12.241869,0
1997-03-25,18.500000,18.500000,18.500000,18.500000,12.235255,0
1997-03-26,18.549999,18.549999,18.549999,18.549999,12.268324,0
1997-03-27,18.200001,18.200001,18.200001,18.200001,12.036848,0
1997-03-31,17.790001,17.790001,17.790001,17.790001,11.765692,0
1997-04-01,17.830000,17.830000,17.830000,17.830000,11.792143,0
1997-04-02,17.620001,17.620001,17.620001,17.620001,11.653256,0
1997-04-03,17.620001,17.620001,17.620001,17.620001,11.653256,0
1997-04-04,17.809999,17.809999,17.809999,17.809999,11.778915,0
1997-04-07,17.950001,17.950001,17.950001,17.950001,11.871498,0
1997-04-08,18.040001,18.040001,18.040001,18.040001,11.931024,0
1997-04-09,17.940001,17.940001,17.940001,17.940001,11.864893,0
1997-04-10,17.870001,17.870001,17.870001,17.870001,11.818600,0
1997-04-11,17.430000,17.430000,17.430000,17.430000,11.527594,0
1997-04-14,17.530001,17.530001,17.530001,17.530001,11.593739,0
1997-04-15,17.740000,17.740000,17.740000,17.740000,11.732617,0
1997-04-16,17.889999,17.889999,17.889999,17.889999,11.831824,0
1997-04-17,17.870001,17.870001,17.870001,17.870001,11.818600,0
1997-04-18,17.940001,17.940001,17.940001,17.940001,11.864893,0
1997-04-21,17.770000,17.770000,17.770000,17.770000,11.752460,0
1997-04-22,18.030001,18.030001,18.030001,18.030001,11.924411,0
1997-04-23,18.040001,18.040001,18.040001,18.040001,11.931024,0
1997-04-24,17.990000,17.990000,17.990000,17.990000,11.897962,0
1997-04-25,17.830000,17.830000,17.830000,17.830000,11.792143,0
1997-04-28,17.980000,17.980000,17.980000,17.980000,11.891345,0
1997-04-29,18.420000,18.420000,18.420000,18.420000,12.182347,0
1997-04-30,18.590000,18.590000,18.590000,18.590000,12.294781,0
1997-05-01,18.570000,18.570000,18.570000,18.570000,12.281549,0
1997-05-02,18.940001,18.940001,18.940001,18.940001,12.526259,0
1997-05-05,19.350000,19.350000,19.350000,19.350000,12.797415,0
1997-05-06,19.290001,19.290001,19.290001,19.290001,12.757730,0
1997-05-07,19.049999,19.049999,19.049999,19.049999,12.599004,0
1997-05-08,19.150000,19.150000,19.150000,19.150000,12.665144,0
1997-05-09,19.240000,19.240000,19.240000,19.240000,12.724665,0
1997-05-12,19.500000,19.500000,19.500000,19.500000,12.896616,0
1997-05-13,19.420000,19.420000,19.420000,19.420000,12.843707,0
1997-05-14,19.490000,19.490000,19.490000,19.490000,12.890004,0
1997-05-15,19.610001,19.610001,19.610001,19.610001,12.969363,0
1997-05-16,19.389999,19.389999,19.389999,19.389999,12.823874,0
1997-05-19,19.450001,19.450001,19.450001,19.450001,12.863552,0
1997-05-20,19.620001,19.620001,19.620001,19.620001,12.975985,0
1997-05-21,19.610001,19.610001,19.610001,19.610001,12.969363,0
1997-05-22,19.559999,19.559999,19.559999,19.559999,12.936307,0
1997-05-23,19.799999,19.799999,19.799999,19.799999,13.095033,0
1997-05-27,19.870001,19.870001,19.870001,19.870001,13.141323,0
1997-05-28,19.850000,19.850000,19.850000,19.850000,13.128095,0
1997-05-29,19.799999,19.799999,19.799999,19.799999,13.095033,0
1997-05-30,19.910000,19.910000,19.910000,19.910000,13.167773,0
1997-06-02,19.910000,19.910000,19.910000,19.910000,13.167773,0
1997-06-03,19.879999,19.879999,19.879999,19.879999,13.147937,0
1997-06-04,19.790001,19.790001,19.790001,19.790001,13.088415,0
1997-06-05,19.879999,19.879999,19.879999,19.879999,13.147937,0
1997-06-06,20.170000,20.170000,20.170000,20.170000,13.339739,0
1997-06-09,20.270000,20.270000,20.270000,20.270000,13.405866,0
1997-06-10,20.299999,20.299999,20.299999,20.299999,13.425712,0
1997-06-11,20.379999,20.379999,20.379999,20.379999,13.478623,0
1997-06-12,20.660000,20.660000,20.660000,20.660000,13.663805,0
1997-06-13,20.860001,20.860001,20.860001,20.860001,13.796075,0
1997-06-16,20.870001,20.870001,20.870001,20.870001,13.802685,0
1997-06-17,20.900000,20.900000,20.900000,20.900000,13.822533,0
1997-06-18,20.820000,20.820000,20.820000,20.820000,13.769619,0
1997-06-19,21.020000,21.020000,21.020000,21.020000,13.901894,0
1997-06-20,21.010000,21.010000,21.010000,21.010000,13.895282,0
1997-06-23,20.629999,20.629999,20.629999,20.629999,13.643961,0
1997-06-24,20.959999,20.959999,20.959999,20.959999,13.862212,0
1997-06-25,20.760000,20.760000,20.760000,20.760000,13.769362,0
1997-06-26,20.650000,20.650000,20.650000,20.650000,13.696394,0
1997-06-27,20.750000,20.750000,20.750000,20.750000,13.762718,0
1997-06-30,20.719999,20.719999,20.719999,20.719999,13.742824,0
1997-07-01,20.850000,20.850000,20.850000,20.850000,13.829049,0
1997-07-02,21.100000,21.100000,21.100000,21.100000,13.994869,0
